DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
11:32.0,64500,1049
11:36.2,64500,1050
11:37.0,64500,1050
11:41.2,64500,1050
11:42.0,64500,1050
11:46.2,64500,1051
11:47.0,64500,1051
11:51.3,64500,1051
11:52.0,64500,1051
11:56.3,64500,1051
11:57.0,64500,1051
12:01.3,64500,1051
12:02.0,64500,1051
12:06.3,64500,1052
12:07.1,64500,1052
12:11.3,64500,1052
12:12.1,64500,1052
12:16.3,64500,1052
12:17.1,64500,1052
12:21.3,64500,1053
12:22.1,64500,1053
12:26.3,64500,1053
12:27.1,64500,1053
12:31.3,64500,1054
12:32.1,64500,1054
12:36.3,64500,1054
12:37.1,64500,1054
12:41.3,64500,1054
12:42.1,64500,1054
12:46.3,64500,1054
12:47.1,64500,1055
12:51.4,64500,1055
12:52.1,64500,1054
12:56.4,64500,1055
12:57.1,64500,1055
13:01.4,64500,1055
13:02.1,64500,1055
13:06.4,64500,1056
13:07.1,64500,1055
13:11.4,64500,1056
13:12.2,64500,1056
13:16.6,64500,1056
13:17.2,64500,1056
13:21.4,64500,1057
13:22.2,64500,1057
13:26.4,64500,1057
13:27.2,64500,1057
13:31.4,64500,1057
13:32.2,64500,1057
13:36.4,64500,1057
13:37.2,64500,1057
13:41.4,64500,1057
13:42.2,64500,1058
13:46.4,65000,1058
13:47.2,65000,1058
13:51.4,65000,1058
13:52.2,65000,1058
13:56.5,65000,1058
13:57.2,65000,1058
14:01.5,65000,1059
14:02.2,65000,1059
14:06.5,65000,1059
14:07.2,65000,1059
14:11.5,65000,1060
14:12.2,65000,1060
14:16.5,65000,1060
14:17.2,65000,1060
14:21.5,65000,1060
14:22.2,65000,1060
14:26.5,65000,1060
14:27.3,65000,1060
14:31.5,65000,1060
14:32.3,65000,1060
14:36.5,65000,1061
14:37.3,65000,1061
14:41.5,65000,1061
14:42.3,65000,1061
14:46.5,65000,1062
14:47.3,65000,1062
14:51.5,65000,1062
14:52.3,65000,1062
